epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,486.693,1.17056,1.4249,0.71425,1.03192,0.5595,0.54338,0.55294,0.19716,0.64085,0.51598,0.60113,0.22404,2.31776,2.28908,1.41174,2.09531,0.0015974,0.0015974,0.0015974
63,494.235,1.16857,1.40472,0.71187,1.03663,0.60475,0.55251,0.56666,0.19546,0.70868,0.47945,0.57506,0.22261,2.3426,2.31379,1.33746,2.04545,0.0015908,0.0015908,0.0015908
64,501.791,1.18383,1.42464,0.71866,1.02648,0.63905,0.49772,0.52755,0.19017,0.69768,0.54338,0.5921,0.22646,2.37131,2.52143,1.36129,2.04098,0.0015842,0.0015842,0.0015842
65,509.903,1.16431,1.42046,0.70236,1.02616,0.64409,0.53425,0.5802,0.20779,0.66968,0.53881,0.61359,0.22761,2.29456,2.2862,1.28231,2.0635,0.0015776,0.0015776,0.0015776
66,517.687,1.13746,1.3609,0.69015,1.01915,0.56167,0.53881,0.56923,0.20896,0.69722,0.45212,0.58433,0.22779,2.30411,2.45852,1.37293,2.03769,0.001571,0.001571,0.001571
67,525.321,1.13503,1.39543,0.68922,1.01445,0.59126,0.56621,0.56894,0.19748,0.67885,0.49315,0.57596,0.21789,2.33382,2.433,1.3739,2.05421,0.0015644,0.0015644,0.0015644
68,532.918,1.09669,1.35801,0.67146,1.00257,0.58976,0.52514,0.56241,0.19457,0.57434,0.51142,0.55229,0.20125,2.28116,2.61246,1.41348,2.08111,0.0015578,0.0015578,0.0015578
69,540.632,1.09517,1.34545,0.66064,0.99536,0.61032,0.57991,0.56202,0.20482,0.70181,0.52055,0.6041,0.23677,2.30898,2.32709,1.32407,2.08576,0.0015512,0.0015512,0.0015512
70,548.613,1.11668,1.34696,0.67857,1.00003,0.63516,0.52055,0.56488,0.19669,0.62689,0.52968,0.59277,0.22075,2.25242,2.28067,1.37631,1.98182,0.0015446,0.0015446,0.0015446
71,556.534,1.09808,1.36286,0.66756,0.99724,0.66341,0.53099,0.592,0.21262,0.58989,0.57078,0.60375,0.22771,2.33195,2.49902,1.37504,2.09148,0.001538,0.001538,0.001538
72,564.09,1.10776,1.3653,0.66798,1.00412,0.64795,0.59361,0.602,0.22899,0.64226,0.57991,0.62455,0.24792,2.21304,2.3112,1.2492,1.98322,0.0015314,0.0015314,0.0015314
73,571.888,1.09531,1.35846,0.65912,1.00758,0.64479,0.56364,0.59099,0.21383,0.64348,0.55251,0.58234,0.22186,2.3421,2.52171,1.3319,2.05341,0.0015248,0.0015248,0.0015248
74,579.534,1.08887,1.32236,0.65692,0.99263,0.59952,0.54685,0.56879,0.20072,0.5763,0.52511,0.57441,0.21598,2.31188,2.30421,1.39217,2.05791,0.0015182,0.0015182,0.0015182
75,587.23,1.08959,1.30972,0.65999,1.00035,0.64689,0.51598,0.55113,0.19763,0.6439,0.56621,0.61073,0.22936,2.32037,2.458,1.24562,2.09919,0.0015116,0.0015116,0.0015116
76,595.18,1.08284,1.32365,0.66302,0.99751,0.61503,0.54338,0.54397,0.2011,0.64467,0.53881,0.58483,0.22326,2.2698,2.55674,1.31841,2.01591,0.001505,0.001505,0.001505
77,602.898,1.07332,1.30348,0.64992,0.99225,0.58301,0.6484,0.58139,0.21643,0.57815,0.64384,0.59556,0.23064,2.28109,2.40195,1.31779,2.06081,0.0014984,0.0014984,0.0014984
78,610.546,1.0855,1.31118,0.65957,1.00323,0.65119,0.57967,0.61001,0.21746,0.64554,0.56621,0.59772,0.239,2.33813,2.21903,1.30423,2.02429,0.0014918,0.0014918,0.0014918
79,618.117,1.08253,1.34006,0.65351,0.99528,0.59744,0.54338,0.53584,0.18646,0.53502,0.49315,0.50338,0.19614,2.41517,2.42928,1.39591,2.10237,0.0014852,0.0014852,0.0014852
80,625.982,1.07899,1.32619,0.649,0.98997,0.60188,0.60274,0.58724,0.21712,0.66942,0.52055,0.58591,0.23439,2.27378,2.34507,1.30436,2.10003,0.0014786,0.0014786,0.0014786
81,633.911,1.06162,1.29157,0.64809,0.98907,0.5918,0.57534,0.55015,0.21684,0.60448,0.61187,0.61226,0.2404,2.18764,2.50789,1.26658,1.94116,0.001472,0.001472,0.001472
82,641.597,1.04107,1.28454,0.63398,0.98707,0.65323,0.59361,0.56895,0.20743,0.62668,0.53881,0.59951,0.23932,2.26083,2.67656,1.25252,2.01502,0.0014654,0.0014654,0.0014654
83,649.252,1.05041,1.29821,0.6402,0.97778,0.62646,0.54795,0.56858,0.20816,0.59787,0.49772,0.55249,0.21536,2.33396,2.26724,1.32702,2.0548,0.0014588,0.0014588,0.0014588
84,656.835,1.04467,1.30946,0.63379,0.97794,0.61729,0.56164,0.55725,0.22266,0.59604,0.57991,0.60081,0.2431,2.23861,2.25653,1.28909,2.05102,0.0014522,0.0014522,0.0014522
85,664.768,1.04787,1.25766,0.632,0.97351,0.59741,0.59817,0.54199,0.20634,0.59665,0.61644,0.62211,0.23332,2.32149,2.31298,1.35923,2.07347,0.0014456,0.0014456,0.0014456
86,672.818,1.04497,1.26793,0.63421,0.97489,0.58548,0.56755,0.53648,0.19969,0.59599,0.55251,0.56129,0.22149,2.30499,2.3219,1.3678,2.04106,0.001439,0.001439,0.001439
87,680.484,1.04777,1.27629,0.63273,0.98218,0.65781,0.50911,0.53884,0.20024,0.61809,0.50685,0.56025,0.21634,2.33747,2.43077,1.34851,2.08582,0.0014324,0.0014324,0.0014324
88,688.029,1.00318,1.2713,0.61702,0.96618,0.61074,0.58747,0.56648,0.2144,0.64204,0.58447,0.61186,0.23768,2.32773,2.40509,1.26625,2.14002,0.0014258,0.0014258,0.0014258
