epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,545.065,1.03404,1.29418,0.62315,0.98013,0.6331,0.61187,0.63146,0.23431,0.69238,0.55498,0.64508,0.25802,2.26478,2.30718,1.28751,1.99376,0.0007328,0.0007328,0.0007328
66,552.569,1.04113,1.30323,0.62026,0.97934,0.68273,0.57534,0.65501,0.23556,0.7254,0.53881,0.64639,0.26707,2.2855,2.32319,1.27757,2.03886,0.000713,0.000713,0.000713
67,560.186,1.02586,1.28625,0.61636,0.97166,0.64183,0.56164,0.60551,0.22781,0.63058,0.56621,0.60907,0.25633,2.27841,2.37281,1.3346,1.98729,0.0006932,0.0006932,0.0006932
68,567.744,0.9858,1.24457,0.59396,0.96094,0.6303,0.6228,0.61659,0.22505,0.61777,0.59361,0.61723,0.2662,2.22016,2.26683,1.2881,1.9841,0.0006734,0.0006734,0.0006734
69,575.398,0.98449,1.2367,0.59263,0.95683,0.64164,0.57991,0.6348,0.23927,0.68947,0.53425,0.63577,0.26847,2.24474,2.39973,1.26723,2.01744,0.0006536,0.0006536,0.0006536
70,582.995,0.99676,1.23849,0.60127,0.95672,0.57717,0.65753,0.58894,0.22772,0.62423,0.56132,0.60242,0.24733,2.19796,2.2682,1.27659,1.94252,0.0006338,0.0006338,0.0006338
71,590.617,0.98762,1.25084,0.5953,0.95581,0.64894,0.59361,0.62789,0.23051,0.62501,0.5632,0.62012,0.26037,2.27186,2.28126,1.29494,2.02395,0.000614,0.000614,0.000614
72,598.19,0.9938,1.25602,0.59633,0.9624,0.63231,0.61644,0.5881,0.22836,0.61874,0.60274,0.62237,0.25984,2.2287,2.33388,1.23462,2.01227,0.0005942,0.0005942,0.0005942
73,605.749,0.98605,1.2408,0.58963,0.96216,0.67758,0.56621,0.611,0.22554,0.6624,0.58235,0.63448,0.24914,2.25144,2.41176,1.28312,2.01475,0.0005744,0.0005744,0.0005744
74,613.349,0.96465,1.2124,0.5754,0.94665,0.6191,0.62342,0.61497,0.22466,0.62486,0.58904,0.63988,0.24297,2.30287,2.34025,1.21969,2.06592,0.0005546,0.0005546,0.0005546
75,620.896,0.96161,1.19437,0.575,0.95187,0.67433,0.62402,0.62646,0.2414,0.69288,0.56659,0.63393,0.26464,2.26518,2.25847,1.26337,2.09237,0.0005348,0.0005348,0.0005348
76,628.472,0.94795,1.19575,0.56896,0.94763,0.64232,0.58447,0.58273,0.23177,0.64496,0.58447,0.62921,0.25666,2.27951,2.32376,1.24526,2.16036,0.000515,0.000515,0.000515
